# sent log: lines of chatid|postid
-1003269177184|https://is.gd/HHWevD.m3u
-1003269177184|https://is.gd/7vp2sd.m3u
-1003269177184|https://is.gd/Gwi4u2.m3u
-1003269177184|https://is.gd/XFbdwJ.m3u
-1003269177184|https://is.gd/wZCHyV.m3u
-1003269177184|https://is.gd/error.m3u
-1003269177184|https://is.gd/no-link.m3u
-1003269177184|https://iptv-org.github.io/iptv/index.m3u
-1003269177184|https://raw.githubusercontent.com/byte-capsule/Fan-Code-HLS/main/bdix_all.m3u
-1003269177184|https://iptv-org.github.io/iptv/categories/sports.m3u
